id,first_name,last_name,is_empty
1,Eric,Knight,false
2,Annie,Castillo,true
3,Johnny,Dunn,false
4,Lawrence,Payne,true
5,Sara,Duncan,true
6,Alan,Webb,true
7,Joan,Payne,false
8,Jason,Perez,false
9,Gary,Sanchez,true
10,Louise,Davis,false
11,Keith,Lynch,false
12,Irene,Cook,false
13,Henry,Jordan,false
14,Albert,Sanchez,false
15,Kathy,Arnold,false
16,Thomas,Hill,false
17,Roy,Gardner,true
18,Patricia,Mason,true
19,Samuel,Chapman,true
20,Phillip,Gardner,true
21,Diana,Young,true
22,Thomas,Burton,false
23,Samuel,Carter,false
24,Annie,Ellis,true
25,Amanda,Myers,false
26,Bonnie,Bailey,true
27,Keith,Hicks,true
28,Scott,Peters,true
29,Henry,Bailey,false
30,Arthur,Gray,false
31,Tammy,Williamson,true
32,Stephen,Hayes,true
